time,flux
2.890908532389561969e+03,9.967200756072998047e-01
2.890909921301084523e+03,9.977310299873352051e-01
2.890911310212141416e+03,9.983648061752320446e-01
2.890912699123198308e+03,9.971658587455748401e-01
2.890914088034254291e+03,9.973366856575013317e-01
2.890915476945311184e+03,9.983070492744444691e-01
2.890916865856367167e+03,9.977678060531616211e-01
2.890918254767424514e+03,9.982419013977050781e-01
2.890919643678480952e+03,9.999372363090516247e-01
2.890921032589536935e+03,9.986791610717772327e-01
2.890922421500592918e+03,9.987797737121582031e-01
2.890923810412115017e+03,9.982926249504088245e-01
2.890925199323172365e+03,9.987171292304991566e-01
2.890926588234229257e+03,9.987714886665344238e-01
2.890927977145286150e+03,9.997642636299133301e-01
2.890929366056342133e+03,1.000012278556823508e+00
2.890930754967399025e+03,9.981732368469238281e-01
2.890932143878454553e+03,1.000072002410888672e+00
2.890933532789510991e+03,1.000123023986816406e+00
2.890934921700567884e+03,9.994216561317444958e-01
2.890936310611624776e+03,1.000915169715881126e+00
2.890937699522680759e+03,1.000427484512329102e+00
2.890939088433737652e+03,9.992749094963071510e-01
2.890940477344328883e+03,1.000738382339477539e+00
2.890941866255385776e+03,9.998878240585328259e-01
2.890943255166442214e+03,1.000129580497741699e+00
2.890944644077498197e+03,1.000062108039855957e+00
2.890946032988554180e+03,1.001111388206481934e+00
2.890947421899610617e+03,1.001046299934387207e+00
2.890948810810667510e+03,1.000559926033020020e+00
2.890950199721724402e+03,1.001071214675903098e+00
2.890951588632781295e+03,1.000412106513977051e+00
2.890952977543837278e+03,1.000825762748718262e+00
2.890954366454428509e+03,1.000787377357482910e+00
2.890955755365485402e+03,1.000413060188293457e+00
2.890957144276542294e+03,1.000553369522094727e+00
2.890958533187598277e+03,1.000363826751708762e+00
2.890959922098654260e+03,1.000913619995117188e+00
2.890961311009710244e+03,1.000581264495849609e+00
2.890962699920301475e+03,1.001016259193420410e+00
2.890964088831358367e+03,1.000887274742126465e+00
2.890965477742415260e+03,1.000942468643188477e+00
2.890966866653472152e+03,1.001253008842468262e+00
2.890968255564528135e+03,9.999319314956663929e-01
2.890969644475119367e+03,1.000611901283263938e+00
2.890971033386175804e+03,1.000154972076416016e+00
2.890972422297232697e+03,1.000418663024902344e+00
2.890973811208288225e+03,1.001051187515258789e+00
2.890975200118879002e+03,1.000879645347595215e+00
2.890976589029934985e+03,1.000790238380431907e+00
2.890977977940992332e+03,1.000233173370361106e+00
2.890979366851583563e+03,1.001178503036499023e+00
2.890980755762640456e+03,9.997766613960266113e-01
2.890982144673697348e+03,1.000466108322143555e+00
2.890983533584753332e+03,1.001400828361511230e+00
2.890984922495343653e+03,1.000438332557678223e+00
2.890986311406398727e+03,1.001159667968750000e+00
2.890987700316990868e+03,1.000506639480590820e+00
2.890989089228047760e+03,1.000990509986877441e+00
2.890990478139104198e+03,9.999279975891112171e-01
2.890991867049694974e+03,1.001027345657348633e+00
2.890993255960750957e+03,1.000957965850830078e+00
2.890994644871808759e+03,1.000887632369995117e+00
2.890996033782399991e+03,1.000632882118225098e+00
2.890997422693456883e+03,1.002108693122863547e+00
2.890998811604046296e+03,1.000712990760803223e+00
2.891000200515102279e+03,1.000311613082885520e+00
2.891001589425692600e+03,1.000259637832641602e+00
2.891002978336749948e+03,1.001065373420715110e+00
2.891004367247807295e+03,1.000904798507690430e+00
2.891005756158397617e+03,1.001180529594421165e+00
2.891007145069454509e+03,9.999316930770874023e-01
2.891008533980044831e+03,1.001143693923949973e+00
2.891009922891102178e+03,1.000920772552490234e+00
2.891011311801693410e+03,9.999465942382812500e-01
2.891012700712749393e+03,9.999296069145203747e-01
2.891014089623339260e+03,1.001182079315185547e+00
