time,flux
1.955795362070879946e+03,9.775505065917967640e-01
1.955796750955337984e+03,1.090074419975280762e+00
1.955798139839788746e+03,1.167998433113097922e+00
1.955799528724232687e+03,1.231525540351867676e+00
1.955800917608661621e+03,1.292258262634277122e+00
1.955802306493090327e+03,1.345421910285949707e+00
1.955803695377512440e+03,1.395206689834594727e+00
1.955805084261927277e+03,1.457817912101745605e+00
1.955806473146340750e+03,1.476400375366210715e+00
1.955807862030739898e+03,1.496645808219909668e+00
1.955809250915132907e+03,1.485111713409423828e+00
1.955810639799517958e+03,1.436357378959655540e+00
1.955812028683903691e+03,1.490772128105163574e+00
1.955813417568274417e+03,1.481078147888183594e+00
1.955814806452645144e+03,1.500877737998962402e+00
1.955816195337008821e+03,1.511986017227172852e+00
1.955817584221365223e+03,1.517808675765991211e+00
1.955818973105714804e+03,1.461042642593383567e+00
1.955820361990057108e+03,1.520404934883117676e+00
1.955821750874391682e+03,1.518886923789978027e+00
1.955823139758718753e+03,1.530014753341674805e+00
1.955824528643046506e+03,1.528726816177367942e+00
1.955825917527357888e+03,1.529067039489746094e+00
1.955827306411669952e+03,1.548533916473388672e+00
1.955828695295975194e+03,1.575577497482299805e+00
1.955830084180273616e+03,1.552625775337219238e+00
1.955831473064564307e+03,1.575512886047363281e+00
1.955832861948847949e+03,1.577442765235900879e+00
1.955834250833131136e+03,1.560737490653991699e+00
1.955835639717400454e+03,1.570679903030395508e+00
1.955837028601669545e+03,1.549920082092285156e+00
1.955838417485931132e+03,1.572783946990966797e+00
1.955839806370185670e+03,1.551550745964050293e+00
1.955841195254432705e+03,1.582442402839660645e+00
1.955842584138672692e+03,1.557716250419616699e+00
1.955843973022912451e+03,1.588601708412170410e+00
1.955845361907137203e+03,1.591940522193908691e+00
1.955846750791361501e+03,1.606512665748595969e+00
1.955848139675580342e+03,1.610648512840270774e+00
1.955849528559791906e+03,1.606623172760009544e+00
1.955850917444002789e+03,1.606681942939758301e+00
1.955852306328198893e+03,1.596598863601684348e+00
1.955853695212395223e+03,1.590906500816345215e+00
1.955855084096584051e+03,1.615913748741149902e+00
1.955856472980765602e+03,1.596467256546020508e+00
1.955857861864940332e+03,1.614101529121398704e+00
1.955859250749114381e+03,1.636390447616577148e+00
1.955860639633281608e+03,1.652243018150329590e+00
1.955862028517441559e+03,1.645898818969726340e+00
1.955863417401593551e+03,1.639141082763671875e+00
1.955864806285738041e+03,1.653471231460571289e+00
1.955866195169883213e+03,1.630606532096862793e+00
1.955867584054021563e+03,1.633494734764099121e+00
1.955868972938151956e+03,1.657294750213623047e+00
1.955870361822275527e+03,1.639911293983459473e+00
1.955871750706399098e+03,1.638065576553344727e+00
1.955873139590507890e+03,1.651968002319335938e+00
1.955874528474617136e+03,1.664891242980957031e+00
1.955875917358725928e+03,1.642711758613586426e+00
1.955877306242820850e+03,1.638366103172302246e+00
