time,flux
2.419992290719215362e+03,5.447260737419128418e-01
2.419993679607657668e+03,5.296258926391601562e-01
2.419995068496099066e+03,5.651995539665222168e-01
2.419996457384541372e+03,5.687395930290222168e-01
2.419997846272750849e+03,5.778023600578308105e-01
2.419999235161193155e+03,5.807328820228576660e-01
2.420000624049635007e+03,5.764136314392089844e-01
2.420002012937844029e+03,6.084908843040466309e-01
2.420003401826286336e+03,5.908004641532897949e-01
2.420004790714728642e+03,6.016470193862915039e-01
2.420006179603170949e+03,6.134284138679504395e-01
2.420007568491379516e+03,5.964680910110473633e-01
2.420008957379821823e+03,6.347810626029968262e-01
2.420010346268264129e+03,6.348430514335632324e-01
2.420011735156473605e+03,6.450706124305725098e-01
2.420013124044915912e+03,6.206293106079101562e-01
2.420014512933358219e+03,6.469634771347045898e-01
2.420015901821567695e+03,6.431064605712890625e-01
2.420017290710010002e+03,6.517906785011291504e-01
2.420018679598451854e+03,6.777864098548889160e-01
2.420020068486660421e+03,6.501436233520507812e-01
2.420021457375102727e+03,6.679015755653381348e-01
2.420024235151754056e+03,6.326550245285034180e-01
2.420025624039962622e+03,6.236551403999328613e-01
2.420027012928405384e+03,6.247381567955017090e-01
2.420028401816848145e+03,6.539043188095092773e-01
2.420029790705056712e+03,6.306347250938415527e-01
2.420031179593499019e+03,6.034635901451110840e-01
2.420032568481708950e+03,6.219590902328491211e-01
2.420033957370151256e+03,6.233282089233398438e-01
2.420035346258359823e+03,6.148259639739990234e-01
2.420036735146802130e+03,6.334763765335083008e-01
2.420038124035011606e+03,6.430135369300842285e-01
2.420039512923453458e+03,6.350844502449035645e-01
2.420040901811662934e+03,5.989477038383483887e-01
2.420042290700104331e+03,6.172401309013366699e-01
2.420043679588313807e+03,6.065223217010498047e-01
2.420045068476757024e+03,6.080964207649230957e-01
2.420046457364965590e+03,5.881370902061462402e-01
2.420047846253406988e+03,5.883300304412841797e-01
2.420049235141617373e+03,5.961821675300598145e-01
2.420050624030059680e+03,5.874208211898803711e-01
