frequency,power
2.500000000000000000e-01,8.376674331367149617e-03
2.588277888409070693e-01,4.246304062072089013e-03
2.676555776818141386e-01,1.094127407390421605e-03
2.764833665227212078e-01,7.202390354903330169e-03
2.853111553636282771e-01,1.420997884300104902e-02
2.941389442045353464e-01,2.192219094809289004e-02
3.029667330454424157e-01,3.010285226853968987e-02
3.117945218863494850e-01,3.833461682523710973e-02
3.206223107272565542e-01,4.599027033075007986e-02
3.294500995681636235e-01,5.234410955163797813e-02
3.382778884090706928e-01,5.680901054235074077e-02
3.471056772499777621e-01,5.912518236272183703e-02
3.559334660908848313e-01,5.934475997521822949e-02
3.647612549317919006e-01,5.766416205713523202e-02
3.735890437726989144e-01,5.426679935046160169e-02
3.824168326136060392e-01,4.926324991986394397e-02
3.912446214545131085e-01,4.272148763598097171e-02
4.000724102954201777e-01,3.475811310715903879e-02
4.089001991363272470e-01,2.565939868079998576e-02
4.177279879772342608e-01,1.597437784735035102e-02
4.265557768181413856e-01,6.643532431938716301e-03
4.353835656590484549e-01,4.195837807163970215e-03
4.442113544999555241e-01,1.107335480302000172e-02
4.530391433408625934e-01,1.694107804925009536e-02
4.618669321817696627e-01,2.104715846662253559e-02
4.706947210226767320e-01,2.324335297040129936e-02
4.795225098635837457e-01,2.348765940651226583e-02
4.883502987044909260e-01,2.181572859538479306e-02
4.971780875453979398e-01,1.837604374995723683e-02
5.060058763863050091e-01,1.347988644520529446e-02
5.148336652272120784e-01,7.622120639983835481e-03
5.236614540681191476e-01,1.804382361130189329e-03
5.324892429090262169e-01,5.266671659070932057e-03
5.413170317499332862e-01,1.078729236754738877e-02
5.501448205908403555e-01,1.537301498204742684e-02
5.589726094317474248e-01,1.862548205891654055e-02
5.678003982726544940e-01,2.022317603130362879e-02
5.766281871135615633e-01,1.989541221579175373e-02
5.854559759544686326e-01,1.747656590718696043e-02
5.942837647953757019e-01,1.299304477299915994e-02
6.031115536362827712e-01,6.782311758106922793e-03
6.119393424771898404e-01,2.759940510864771716e-03
6.207671313180969097e-01,1.061772327772142997e-02
6.295949201590039790e-01,1.986345823540943203e-02
6.384227089999110483e-01,2.925357933210421049e-02
6.472504978408181175e-01,3.831855404067124882e-02
6.560782866817251868e-01,4.662711881934433061e-02
6.649060755226322561e-01,5.374047327680402109e-02
6.737338643635393254e-01,5.922987068741748795e-02
6.825616532044463947e-01,6.274333294281089768e-02
6.913894420453534639e-01,6.409189520411026630e-02
7.002172308862605332e-01,6.329523003089412847e-02
7.090450197271676025e-01,6.054937412151724374e-02
7.178728085680746718e-01,5.614365402692235441e-02
7.267005974089817411e-01,5.038664839185797578e-02
7.355283862498888103e-01,4.357508062969287638e-02
7.443561750907958796e-01,3.600004165666888245e-02
7.531839639317029489e-01,2.797094408617022826e-02
7.620117527726100182e-01,1.983923590768100348e-02
7.708395416135170874e-01,1.200328972877482379e-02
7.796673304544241567e-01,4.903110320219006280e-03
7.884951192953311150e-01,1.741073527132195415e-03
7.973229081362382953e-01,6.335517136687635747e-03
8.061506969771453646e-01,9.787642424418678197e-03
8.149784858180524338e-01,1.183632211702393029e-02
8.238062746589595031e-01,1.250516198656491905e-02
8.326340634998665724e-01,1.189038980442769233e-02
8.414618523407736417e-01,1.015330968991682604e-02
8.502896411816805999e-01,7.531036497923691495e-03
8.591174300225877802e-01,4.394748298891458863e-03
8.679452188634948495e-01,2.032998707351627195e-03
8.767730077044020298e-01,4.063034746410352019e-03
8.856007965453089881e-01,7.256116079819493851e-03
8.944285853862160574e-01,1.006567617669797306e-02
9.032563742271230156e-01,1.213617265136005506e-02
9.120841630680301959e-01,1.325310486434714066e-02
9.209119519089372652e-01,1.327117846547747580e-02
9.297397407498443345e-01,1.211243808172144699e-02
9.385675295907512927e-01,9.785697356756469303e-03
9.473953184316584730e-01,6.470535351943346343e-03
9.562231072725656533e-01,3.311089823307130937e-03
9.650508961134726116e-01,5.571610425751861127e-03
9.738786849543796809e-01,1.123359405640673991e-02
9.827064737952867501e-01,1.764608973716312590e-02
9.915342626361937084e-01,2.425659273002706354e-02
1.000362051477100778e+00,3.070737512989987414e-02
