frequency,power
2.500000000000000000e-01,3.348124702477222048e-01
2.582863578278403183e-01,3.760154042741913893e-01
2.665727156556806365e-01,4.067107501136018044e-01
2.748590734835209548e-01,4.228625857762964846e-01
2.831454313113612731e-01,4.214692435190466879e-01
2.914317891392015913e-01,4.003915945221769856e-01
2.997181469670419096e-01,3.592627473785282022e-01
3.080045047948822279e-01,3.007022409206551727e-01
3.162908626227225461e-01,2.306470773056094881e-01
3.245772204505628644e-01,1.571090889434109961e-01
3.328635782784031827e-01,8.884572868940636414e-02
3.411499361062435010e-01,4.190101079891742769e-02
3.494362939340838192e-01,5.460795982122491204e-02
3.577226517619241375e-01,8.826465895676145756e-02
3.660090095897644558e-01,1.133809007070286368e-01
3.742953674176047740e-01,1.256570559451538616e-01
3.825817252454450923e-01,1.245643352317749447e-01
3.908680830732854106e-01,1.115890596732584117e-01
3.991544409011257843e-01,9.033268419064412191e-02
4.074407987289659916e-01,6.655110448054733785e-02
4.157271565568064209e-01,4.875184952957139356e-02
4.240135143846466836e-01,4.646639120254665578e-02
4.322998722124870019e-01,5.693012748639558057e-02
4.405862300403273202e-01,6.931634122826195454e-02
4.488725878681676384e-01,7.776904025977549040e-02
4.571589456960079567e-01,8.002569079508740912e-02
4.654453035238482750e-01,7.583032229850282524e-02
4.737316613516886488e-01,6.708609954858110735e-02
4.820180191795289670e-01,5.837889037509385454e-02
4.903043770073692298e-01,5.585832745170513786e-02
4.985907348352095481e-01,6.170710857544065009e-02
5.068770926630499218e-01,7.163262080709094370e-02
5.151634504908901846e-01,8.051874755360891034e-02
5.234498083187304474e-01,8.530103076768875969e-02
5.317361661465708211e-01,8.442960903006267726e-02
5.400225239744111949e-01,7.722105893055833392e-02
5.483088818022514577e-01,6.380973134273261460e-02
5.565952396300917204e-01,4.567117494117930304e-02
5.648815974579320942e-01,2.763685501547628529e-02
5.731679552857724680e-01,2.531382048171912022e-02
5.814543131136127307e-01,4.209127774579190379e-02
5.897406709414529935e-01,6.111015466058605100e-02
5.980270287692933673e-01,7.644384096208194090e-02
6.063133865971337411e-01,8.607053943366747839e-02
6.145997444249740038e-01,8.903142882402005631e-02
6.228861022528142666e-01,8.493976937082822753e-02
6.311724600806546404e-01,7.402273544260419558e-02
6.394588179084950141e-01,5.739146399881445842e-02
6.477451757363352769e-01,3.750995757231970901e-02
6.560315335641755397e-01,2.071782192509274978e-02
6.643178913920159134e-01,2.400670244724098512e-02
6.726042492198562872e-01,4.031065639952521873e-02
6.808906070476965500e-01,5.532434769404159097e-02
6.891769648755368127e-01,6.553850902409930068e-02
6.974633227033771865e-01,6.967915655687403897e-02
7.057496805312175603e-01,6.722684624079659776e-02
7.140360383590578230e-01,5.830500110709072037e-02
7.223223961868979748e-01,4.386248860054582643e-02
