frequency,power
2.500000000000000000e-01,1.555890089961801670e-01
2.589910187717616163e-01,1.232987022228176771e-01
2.679820375435232327e-01,9.708865374978394025e-02
2.769730563152848490e-01,7.894015284711314306e-02
2.859640750870464654e-01,6.960896774382611951e-02
2.949550938588080817e-01,6.909388486717697730e-02
3.039461126305696981e-01,7.691451908948725158e-02
3.129371314023313144e-01,9.206311478359940903e-02
3.219281501740929308e-01,1.127907143347732649e-01
3.309191689458545471e-01,1.365541924626774983e-01
3.399101877176161635e-01,1.604116252866759074e-01
3.489012064893777798e-01,1.817618761011429718e-01
3.578922252611393962e-01,1.988838540015048506e-01
3.668832440329010125e-01,2.108925668621212113e-01
3.758742628046626288e-01,2.173253290245686364e-01
3.848652815764242452e-01,2.178131283068106827e-01
3.938563003481858615e-01,2.120406399271437536e-01
4.028473191199474779e-01,1.999178289546994503e-01
4.118383378917090942e-01,1.818544849208403869e-01
4.208293566634707106e-01,1.590583843257462326e-01
4.298203754352323269e-01,1.336583633361925483e-01
4.388113942069939433e-01,1.084238685301416594e-01
4.478024129787555596e-01,8.615799505112611834e-02
4.567934317505171204e-01,6.909762718673796711e-02
4.657844505222788478e-01,5.843028868336871962e-02
4.747754692940404087e-01,5.391489970998517012e-02
4.837664880658020250e-01,5.422839354295178049e-02
4.927575068375636413e-01,5.817640270785439521e-02
5.017485256093252577e-01,6.529731093211685322e-02
5.107395443810869295e-01,7.528940607983168609e-02
5.197305631528484904e-01,8.726699888316652443e-02
5.287215819246100512e-01,9.965704515918838435e-02
5.377126006963717231e-01,1.106027398276146767e-01
5.467036194681333949e-01,1.183999858114126030e-01
5.556946382398949558e-01,1.217620693005452698e-01
5.646856570116565166e-01,1.199465254373974638e-01
5.736766757834181885e-01,1.127833002944105684e-01
5.826676945551798603e-01,1.006138397138939128e-01
5.916587133269414212e-01,8.421018221367389256e-02
6.006497320987029820e-01,6.475968323751002398e-02
6.096407508704646538e-01,4.390387213535459909e-02
6.186317696422263257e-01,2.392826182068408594e-02
6.276227884139878865e-01,1.093582764749532338e-02
6.366138071857494474e-01,1.802034900901187606e-02
6.456048259575111192e-01,2.930635925575351616e-02
6.545958447292727911e-01,3.824805340324321373e-02
6.635868635010343519e-01,4.510601312370347143e-02
6.725778822727959128e-01,5.124681943165267095e-02
6.815689010445575846e-01,5.816848174864459181e-02
6.905599198163192565e-01,6.678038335392041946e-02
